Alaska,Juneau,Renewable Biomass,1,"$448,366.00"
Alaska,Kenai Peninsula,Energy Efficiency,57,"$356,466.85"
Alaska,Kenai Peninsula,Other,1,"$6,615.00"
Alaska,Kenai Peninsula,Solar,7,"$50,448.75"
Alaska,Kenai Peninsula,Wind,6,"$60,100.00"
Alaska,Ketchikan Gateway,Renewable Biomass,1,"$143,363.00"
Alaska,Kodiak Island,Energy Efficiency,1,"$1,289,169.00"
Alaska,Kodiak Island,Hydroelectric,1,"$38,000,000.00"
Alaska,Kodiak Island,Wind,1,"$14,915.00"
Alaska,Lake and Peninsula,Energy Efficiency,1,"$20,069.00"
Alaska,Lake and Peninsula,Hydroelectric,1,"$1,333,738.00"
Alaska,Lake and Peninsula,Wind,1,"$842,900.00"
Alaska,Matanuska-Susitna,Energy Efficiency,18,"$759,054.98"
Alaska,Matanuska-Susitna,Renewable Biomass,1,"$80,000.00"
Alaska,Matanuska-Susitna,Solar,6,"$55,411.00"
Alaska,Nome,Energy Efficiency,3,"$5,004,017.75"
Alaska,Northwest Arctic,Energy Efficiency,1,"$175,071.00"
Alaska,Prince of Wales-Hyder,Hydroelectric,1,"$172,640.00"
Alaska,Prince of Wales-Hyder,Renewable Biomass,2,"$210,000.00"
Alaska,Sitka,Energy Efficiency,3,"$86,503.88"
Alaska,Skagway,Energy Efficiency,1,"$32,515.16"
Alaska,Skagway,Renewable Biomass,1,"$17,606.00"
Alaska,Southeast Fairbanks,Energy Efficiency,8,"$84,240.77"
Alaska,Southeast Fairbanks,Renewable Biomass,1,"$49,875.00"
Alaska,Southeast Fairbanks,Solar,3,"$24,240.00"
Alaska,Valdez-Cordova,Energy Efficiency,5,"$82,180.15"
Alaska,Valdez-Cordova,Hydroelectric,1,"$1,037,500.00"
Alaska,Valdez-Cordova,Renewable Biomass,2,"$40,000.00"
Alaska,Valdez-Cordova,Solar,4,"$133,347.00"
Alaska,Valdez-Cordova,Wind,1,"$44,916.00"
Alaska,Wade Hampton,Energy Efficiency,1,"$1,308,104.00"
Alaska,Yukon-Koyukuk,Energy Efficiency,2,"$914,602.00"
Alaska,Yukon-Koyukuk,Renewable Biomass,4,"$4,233,896.00"
Alaska,Yukon-Koyukuk,Solar,1,"$1,500,000.00"
American Samoa,,Renewable Biomass,1,"$1,135,000.00"
Arizona,Apache,Energy Efficiency,3,"$1,550.68"
Arizona,Apache,Renewable Biomass,1,"$80,000.00"
Arizona,Apache,Solar,2,"$104,480,000.00"
Arizona,Cochise,Energy Efficiency,106,"$419,384.62"
Arizona,Cochise,Solar,26,"$630,789.02"
Arizona,Cochise,Wind,1,"$2,714.00"
Arizona,Coconino,Renewable Biomass,1,"$250,000.00"
Arizona,Gila,Energy Efficiency,6,"$3,219.07"
Arizona,Gila,Solar,8,"$128,253.00"
Arizona,Graham,Energy Efficiency,54,"$203,975.98"
Arizona,Graham,Solar,10,"$258,483.00"
Arizona,Greenlee,Energy Efficiency,5,"$1,034.39"
Arizona,Greenlee,Solar,1,"$19,999.00"
Arizona,La Paz,Energy Efficiency,14,"$16,750.51"
Arizona,Maricopa,Energy Efficiency,47,"$1,093,173.17"
Arizona,Maricopa,Renewable Biomass,17,"$1,259,554.00"
Arizona,Maricopa,Solar,1,"$20,000.00"
Arizona,Mohave,Energy Efficiency,5,"$15,079.80"
Arizona,Mohave,Solar,5,"$2,109,987.00"
Arizona,Navajo,Energy Efficiency,12,"$4,323.76"
Arizona,Navajo,Renewable Biomass,25,"$1,674,910.36"
Arizona,Navajo,Solar,7,"$3,250,639.00"
Arizona,Navajo,Wind,1,"$47,048.62"
Arizona,Pima,Energy Efficiency,10,"$947,938.54"
Arizona,Pima,Renewable Biomass,2,"$179,885.00"
Arizona,Pima,Solar,3,"$1,541,500.00"
Arizona,Pinal,Anaerobic Digester,1,"$444,000.00"
Arizona,Pinal,Energy Efficiency,86,"$4,491,058.25"
Arizona,Pinal,Renewable Biomass,6,"$4,653,145.65"
Arizona,Pinal,Solar,4,"$466,167.00"
Arizona,Santa Cruz,Energy Efficiency,7,"$83,701.18"
Arizona,Santa Cruz,Solar,12,"$1,660,835.00"
Arizona,Yavapai,Energy Efficiency,1,$598.81
Arizona,Yavapai,Renewable Biomass,1,"$194,160.00"
Arizona,Yavapai,Solar,11,"$753,309.06"
Arizona,Yuma,Energy Efficiency,29,"$137,366.75"
Arkansas,Arkansas,Energy Efficiency,145,"$335,335.38"
Arkansas,Arkansas,Renewable Biomass,2,$538.63
Arkansas,Arkansas,Solar,5,"$68,868,077.00"
Arkansas,Ashley,Energy Efficiency,3,"$333,777.00"
Arkansas,Ashley,Renewable Biomass,76,"$6,120,392.51"
Arkansas,Benton,Energy Efficiency,34,"$973,618.77"
Arkansas,Benton,Other,2,"$17,445.00"
Arkansas,Benton,Wind,1,"$14,981.00"
Arkansas,Boone,Energy Efficiency,9,"$188,312.67"
Arkansas,Boone,Solar,1,"$49,985.00"
Arkansas,Bradley,Energy Efficiency,7,"$193,124.31"
Arkansas,Bradley,Renewable Biomass,6,"$616,614.00"
Arkansas,Calhoun,Renewable Biomass,1,$897.00
Arkansas,Carroll,Energy Efficiency,35,"$823,068.38"
Arkansas,Chicot,Energy Efficiency,8,"$101,464.55"
Arkansas,Chicot,Solar,1,"$87,500.00"
Arkansas,Clark,Energy Efficiency,2,"$8,006.46"
Arkansas,Clark,Renewable Biomass,4,"$174,793.00"
Arkansas,Clay,Energy Efficiency,30,"$79,642.09"
Arkansas,Clay,Renewable Biomass,89,"$376,867.00"
Arkansas,Cleburne,Energy Efficiency,3,"$33,300.39"
Arkansas,Cleburne,Solar,1,"$24,944.00"
Arkansas,Cleveland,Energy Efficiency,71,"$1,473,081.32"
Arkansas,Cleveland,Geothermal,1,"$19,875.00"
Arkansas,Cleveland,Renewable Biomass,2,"$8,259.00"
Arkansas,Columbia,Energy Efficiency,8,"$152,138.58"
Arkansas,Columbia,Renewable Biomass,4,"$190,947.00"
Arkansas,Conway,Energy Efficiency,41,"$830,100.92"
Arkansas,Conway,Renewable Biomass,1,"$290,000.00"
Arkansas,Craighead,Energy Efficiency,82,"$179,148.58"
Arkansas,Craighead,Geothermal,1,"$20,000.00"
Arkansas,Craighead,Renewable Biomass,334,"$3,973,309.00"
Arkansas,Crawford,Energy Efficiency,8,"$259,372.36"
Arkansas,Crittenden,Energy Efficiency,115,"$139,737.77"
Arkansas,Cross,Energy Efficiency,52,"$131,416.93"
Arkansas,Dallas,Energy Efficiency,1,$2.25
Arkansas,Dallas,Renewable Biomass,2,"$87,026.00"
Arkansas,Desha,Energy Efficiency,7,"$19,689.21"
Arkansas,Desha,Solar,2,"$135,000.00"
Arkansas,Drew,Energy Efficiency,4,"$121,119.62"
Arkansas,Drew,Renewable Biomass,1,"$16,636.00"
Arkansas,Drew,Solar,1,"$74,880.00"
Arkansas,Faulkner,Energy Efficiency,6,"$30,828.08"
Arkansas,Franklin,Energy Efficiency,26,"$544,344.00"
Arkansas,Franklin,Other,1,"$10,385.00"
Arkansas,Fulton,Energy Efficiency,1,"$4,626,000.00"
Arkansas,Garland,Energy Efficiency,1,"$63,704.62"
Arkansas,Garland,Renewable Biomass,2,"$94,538.00"
Arkansas,Garland,Solar,2,"$55,000.00"
Arkansas,Greene,Energy Efficiency,57,"$370,526.06"
Arkansas,Greene,Renewable Biomass,362,"$3,722,603.99"
Arkansas,Hempstead,Energy Efficiency,16,"$263,874.53"
Arkansas,Hempstead,Renewable Biomass,2,$865.00
Arkansas,Hot Spring,Energy Efficiency,6,"$29,339.60"
Arkansas,Hot Spring,Renewable Biomass,3,"$19,453.00"
Arkansas,Hot Spring,Solar,1,"$35,000.00"
Arkansas,Howard,Energy Efficiency,42,"$531,135.54"
Arkansas,Independence,Energy Efficiency,9,"$47,868.78"
Arkansas,Independence,Renewable Biomass,10,"$5,720,782.50"
Arkansas,Izard,Energy Efficiency,9,"$142,611.69"
Arkansas,Jackson,Energy Efficiency,90,"$131,783.55"
Arkansas,Jackson,Renewable Biomass,57,"$851,728.00"
Arkansas,Jefferson,Energy Efficiency,51,"$147,226.96"
Arkansas,Jefferson,Solar,1,"$31,416.00"
Arkansas,Johnson,Energy Efficiency,19,"$465,771.92"
Arkansas,Lafayette,Energy Efficiency,18,"$232,162.34"
Arkansas,Lawrence,Energy Efficiency,10,"$128,514.35"
Arkansas,Lawrence,Renewable Biomass,116,"$1,087,679.00"
Arkansas,Lee,Energy Efficiency,25,"$84,389.84"
Arkansas,Lincoln,Energy Efficiency,91,"$425,259.05"
Arkansas,Little River,Energy Efficiency,3,"$56,460.48"
Arkansas,Little River,Renewable Biomass,2,"$31,139.00"
Arkansas,Logan,Energy Efficiency,46,"$1,129,918.22"
Arkansas,Lonoke,Energy Efficiency,194,"$460,741.53"
Arkansas,Madison,Energy Efficiency,7,"$117,528.50"
Arkansas,Madison,Renewable Biomass,1,"$282,746.00"
Arkansas,Miller,Energy Efficiency,3,"$1,003,915.81"
Arkansas,Miller,Renewable Biomass,6,"$73,491.00"
Arkansas,Mississippi,Energy Efficiency,116,"$322,484.34"
Arkansas,Monroe,Energy Efficiency,23,"$51,336.83"
Arkansas,Montgomery,Energy Efficiency,8,"$93,837.07"
Arkansas,Montgomery,Renewable Biomass,2,"$8,516.00"
Arkansas,Montgomery,Solar,1,"$236,250.00"
Arkansas,Nevada,Energy Efficiency,7,"$74,895.87"
Arkansas,Newton,Solar,1,"$4,748.00"
Arkansas,Ouachita,Hydroelctric,1,"$8,000,000.00"
Arkansas,Ouachita,Renewable Biomass,4,"$473,489.00"
Arkansas,Ouachita,Solar,1,"$500,000.00"
Arkansas,Perry,Energy Efficiency,20,"$565,473.69"
Arkansas,Phillips,Energy Efficiency,23,"$110,327.31"
